Harga,Tahun,Jarak_km,CC_mid,Usia_mobil,Merek,Model,Varian,Tipe bahan bakar,Transmisi,Tipe bodi,Sistem Penggerak,Warna,Tipe Penjual,KotaKab,Provinsi,Nama Bursa Mobil
138000000.0,2003.0,132500.0,3000.0,22.0,BMW,X5,E53,Bensin,Automatic Triptonic,Jeep,4X4,Abu-abu,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
340000000.0,2016.0,32500.0,2500.0,9.0,Hyundai,Santa Fe,Dspec CRDi,Diesel,Automatic,nan,nan,Coklat,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Mobil WTC Mangga Dua
45000000.0,2002.0,127500.0,2500.0,23.0,Klasik dan Antik,Klasik dan Antik,Lain-lain,Bensin,Automatic,Sedan,4X2,Hitam,Individu,Semarang Kab.,Jawa Tengah,nan
245500000.0,2015.0,77500.0,2500.0,10.0,Nissan,X-Trail,Lain-lain,Bensin,Automatic Triptonic,SUV,Front Wheel Drive (FWD),Hitam,nan,Bandung Kota,Jawa Barat,nan
107000000.0,2013.0,102500.0,1250.0,12.0,Daihatsu,Xenia,X 1.3 STD,Bensin,Manual,MPV,Rear Wheel Drive (RWD),Hitam,nan,Jakarta Timur,Jakarta D.K.I.,nan
255000000.0,2019.0,2500.0,1250.0,6.0,Mazda,2,R,Bensin,Automatic,Hatchback,4X2,Merah,nan,Tangerang Kota,Banten,nan
116400000.0,2019.0,2500.0,,6.0,Daihatsu,Sigra,nan,Bensin,Manual,nan,nan,Putih,nan,Medan Kota,Sumatra Utara,nan
177500000.0,2011.0,42500.0,,14.0,Isuzu,Panther,Grand Touring,Diesel,Manual,nan,nan,Coklat,nan,Malang Kota,Jawa Timur,nan
52000000.0,2008.0,72500.0,1250.0,17.0,Chevrolet,Kalos,LT,Bensin,Manual,Sedan,4X2,Hitam,Individu,Banda Aceh Kota,Aceh D.I.,nan
3400000000.0,2016.0,7500.0,1250.0,9.0,BMW,i8,Sport,Hybrid,Automatic Triptonic,Coupe,All Wheel Drive (AWD),Putih,Individu,Jakarta Utara,Jakarta D.K.I.,Bursa Otomotif Sunter
134000000.0,2010.0,57500.0,1750.0,15.0,Chevrolet,Captiva,Lain-lain,Diesel,Automatic Triptonic,Minibus,4X2,Hitam,Individu,Surabaya Kota,Jawa Timur,nan
380000000.0,2013.0,47500.0,1750.0,12.0,BMW,Serie 3,328i 2.0 Luxury,Bensin,Automatic Triptonic,Sedan,All Wheel Drive (AWD),Putih,Individu,Jakarta Timur,Jakarta D.K.I.,nan
495000000.0,2011.0,27500.0,1750.0,14.0,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,Bensin,Automatic Triptonic,Hatchback,Front Wheel Drive (FWD),Hitam,Diler,Jakarta Selatan,Jakarta D.K.I.,Bursa Mobil Bintaro
125000000.0,2016.0,52500.0,3000.0,9.0,Mitsubishi,L300,Pick Up,Diesel,Manual,Pick-up,4X2,Hitam,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
145000000.0,2012.0,122500.0,,13.0,Hyundai,H-1,nan,Bensin,Automatic,nan,nan,Hitam,nan,Bekasi Kota,Jawa Barat,nan
125000000.0,2016.0,7500.0,,9.0,Honda,Brio,E,Bensin,Automatic,nan,nan,Abu-abu,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Mobil WTC Mangga Dua
87000000.0,2016.0,27500.0,1000.0,9.0,Daihatsu,Ayla,M,Bensin,Manual,Minibus,Front Wheel Drive (FWD),Putih,Diler,Surabaya Kota,Jawa Timur,nan
75000000.0,2000.0,102500.0,3000.0,25.0,Mercedes-Benz,ML-Class,ML320,Bensin,Automatic Triptonic,SUV,All Wheel Drive (AWD),Silver,Individu,Sukabumi Kab.,Jawa Barat,nan
95000000.0,2012.0,77500.0,1250.0,13.0,Ford,Fiesta,Trend,Bensin,Automatic Triptonic,Hatchback,Front Wheel Drive (FWD),Merah,Individu,Bekasi Kota,Jawa Barat,nan
107000000.0,2013.0,102500.0,1250.0,12.0,Suzuki,Ertiga,GX Elegant,Bensin,Manual,MPV,4X2,Marun,Diler,Tangerang Selatan Kota,Banten,nan
140000000.0,2010.0,117500.0,2500.0,15.0,Isuzu,D-Max,Lain-lain,Diesel,Manual,Double Cabin,4X4,Silver,Individu,Yogyakarta Kota,Yogyakarta D.I.,nan
45000000.0,1997.0,147500.0,,28.0,Suzuki,Baleno,Lain-lain,Bensin,Manual,nan,nan,Hijau,Diler,Jakarta Selatan,Jakarta D.K.I.,nan
62000000.0,2012.0,242500.0,1250.0,13.0,Daihatsu,Gran max,Lain-lain,Bensin,Manual,Pick-up,4X2,Hitam,Individu,Bekasi Kota,Jawa Barat,nan
235000000.0,2010.0,102500.0,3000.0,15.0,Mazda,CX-9,3.7 NA,Bensin,Automatic,MPV,4X2,Hitam,Individu,Bandung Kota,Jawa Barat,nan
87000000.0,2000.0,157500.0,1750.0,25.0,BMW,Serie 3,318i 1.8,Bensin,Automatic Triptonic,Sedan,Rear Wheel Drive (RWD),Biru,Diler,Jakarta Selatan,Jakarta D.K.I.,nan
92000000.0,2010.0,202500.0,1250.0,15.0,Toyota,Avanza,G,Bensin,Manual,Classic Car,4X2,Hitam,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
77000000.0,1999.0,147500.0,2500.0,26.0,Opel,Blazer,DOHC,Bensin,Manual,SUV,4X2,Hitam,Individu,Jakarta Timur,Jakarta D.K.I.,nan
845000000.0,2011.0,12500.0,2500.0,14.0,Jeep,Wrangler,Sahara CRD,Diesel,Automatic,Jeep,4X4,Hitam,Individu,Medan Kota,Sumatra Utara,nan
115000000.0,1990.0,47500.0,2500.0,35.0,Mercedes-Benz,E-Class,E300,Bensin,Manual,Sedan,Front Wheel Drive (FWD),Emas,Individu,Bandung Kota,Jawa Barat,nan
127000000.0,2013.0,92500.0,1250.0,12.0,Mazda,2,R,Bensin,Automatic,Minibus,Front Wheel Drive (FWD),Hitam,Diler,Tangerang Selatan Kota,Banten,Bursa Mobil Summarecon Serpong
163000000.0,2014.0,72500.0,1250.0,11.0,Mazda,2,GT,Bensin,Automatic,SUV,4X2,Silver,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Mobil Mangga Dua Square
190000000.0,2019.0,2500.0,,6.0,Daihatsu,Terios,nan,Bensin,Manual,nan,nan,Putih,nan,Jakarta Pusat,Jakarta D.K.I.,nan
133000000.0,2018.0,2500.0,1250.0,7.0,Datsun,Cross,Lain-lain,Bensin,Automatic,Hatchback,4X2,Kuning,nan,Bekasi Kota,Jawa Barat,nan
59750000.0,2011.0,52500.0,1750.0,14.0,Proton,Gen2,Lain-lain,Bensin,Automatic,Sedan,4X2,Silver,Individu,Bekasi Kota,Jawa Barat,nan
140000000.0,2010.0,47500.0,1000.0,15.0,Smart,Fortwo,1.0 Passion Coupe,Bensin,Automatic Triptonic,Compact & City Car,4X2,Coklat,Individu,Jakarta Utara,Jakarta D.K.I.,nan
250000000.0,2011.0,42500.0,2500.0,14.0,Mitsubishi,Pajero Sport,Dakar,Diesel,Automatic Triptonic,nan,4X2,Putih,nan,Semarang Kota,Jawa Tengah,nan
87000000.0,2013.0,62500.0,1250.0,12.0,KIA,Picanto,SE,Bensin,Automatic,Hatchback,Front Wheel Drive (FWD),Putih,nan,Bandung Kab.,Jawa Barat,nan
86000000.0,2004.0,32500.0,1250.0,21.0,Honda,Jazz,i-DSI,Bensin,Automatic Triptonic,Compact & City Car,4X2,Silver,Individu,Jakarta Barat,Jakarta D.K.I.,nan
350000000.0,2009.0,17500.0,2500.0,16.0,Mercedes-Benz,E-Class,E280,Bensin,Automatic Triptonic,Sedan,Rear Wheel Drive (RWD),Silver,nan,Bandung Kota,Jawa Barat,nan
50000000.0,2008.0,27500.0,,17.0,Mazda,3,L4 2.0,Bensin,Automatic,nan,nan,Coklat,nan,Gowa Kab.,Sulawesi Selatan,nan
100000000.0,2013.0,72500.0,1750.0,12.0,Ford,Fiesta,Trend,Bensin,Automatic,SUV,nan,Putih,Individu,Makassar Kota,Sulawesi Selatan,nan
750000000.0,2013.0,17500.0,,12.0,Mercedes-Benz,CLS 350,nan,Bensin,Automatic,nan,nan,Hitam,nan,Jakarta Selatan,Jakarta D.K.I.,nan
105000000.0,2010.0,92500.0,1750.0,15.0,Chevrolet,Cruze,Lain-lain,Bensin,Automatic,Sedan,Front Wheel Drive (FWD),Silver,Individu,Tangerang Kota,Banten,nan
80000000.0,1997.0,300000.0,2500.0,28.0,BMW,Lain-lain,Lain-lain,Bensin,Manual,Sedan,4X2,Silver,Individu,Medan Kota,Sumatra Utara,Bursa Otomotif Sunter
900000000.0,2004.0,37500.0,1750.0,21.0,Nissan,X-Trail,Lain-lain,Bensin,Automatic,Minibus,4X2,Silver,Individu,Medan Kota,Sumatra Utara,Bursa Gading Auto Center
64000000.0,2004.0,87500.0,1250.0,21.0,Chevrolet,Aveo,LT,Bensin,Manual,Hatchback,Front Wheel Drive (FWD),Hitam,Individu,Banjarmasin Kota,Kalimantan Selatan,nan
88000000.0,2017.0,7500.0,1250.0,8.0,Datsun,Go+,Panca T Ultimate,Bensin,Manual,MPV,4X2,Abu-abu,Individu,Pati Kab.,Jawa Tengah,nan
61000000.0,2004.0,172500.0,1250.0,21.0,Hyundai,Lain-lain,Lain-lain,Bensin,Manual,Compact & City Car,Front Wheel Drive (FWD),Silver,Individu,Surakarta Kota,Jawa Tengah,nan
117500000.0,2014.0,72500.0,1250.0,11.0,Ford,Escort,Trend,Bensin,Automatic Triptonic,Jeep,Front Wheel Drive (FWD),Hitam,Individu,Depok Kota,Jawa Barat,nan
70000000.0,2016.0,42500.0,1250.0,9.0,Datsun,Go+,Panca T Style,Bensin,Manual,Sedan,nan,Silver,Individu,Depok Kota,Jawa Barat,nan
35000000.0,2005.0,157500.0,1750.0,20.0,KIA,Rio,1.6 Sedan,Bensin,Manual,Sedan,Front Wheel Drive (FWD),Putih,Individu,Surabaya Kota,Jawa Timur,nan
77000000.0,2005.0,192500.0,2500.0,20.0,Honda,Accord,2.4L Vti,Bensin,Automatic,Sedan,4X2,Biru,nan,Sidoarjo  Kab.,Jawa Timur,nan
40000000.0,2000.0,32500.0,1000.0,25.0,Daewoo,Matiz,0.8,Bensin,Manual,Sedan,All Wheel Drive (AWD),Kuning,Individu,Bandar Lampung Kota,Lampung,nan
85000000.0,2004.0,107500.0,2500.0,21.0,Isuzu,Panther,LM,Diesel,Manual,Minibus,4X2,Biru,Individu,Surabaya Kota,Jawa Timur,nan
380000000.0,,47500.0,,,Mercedes-Benz,S-Class,S280,Bensin,Automatic,nan,nan,Putih,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
1295000000.0,2018.0,2500.0,1750.0,7.0,Land Rover,Range rover,Lain-lain,Bensin,Automatic Triptonic,Hatchback,Rear Wheel Drive (RWD),Putih,Diler,Tangerang Kota,Banten,Bursa Otomotif Sunter
176000000.0,2018.0,17500.0,1250.0,7.0,Suzuki,Ertiga,GL,Bensin,Automatic,MPV,Front Wheel Drive (FWD),Putih,nan,Surabaya Kota,Jawa Timur,nan
205000000.0,2013.0,12500.0,1750.0,12.0,Mitsubishi,Outlander,Lain-lain,Bensin,Automatic Triptonic,nan,nan,Merah,Diler,Surabaya Kota,Jawa Timur,nan
370000000.0,2000.0,152500.0,,25.0,Land Rover,Discovery,nan,Diesel,Automatic,nan,4X4,Abu-abu,nan,Surabaya Kota,Jawa Timur,nan
116500000.0,2002.0,182500.0,1750.0,23.0,BMW,Serie 3,nan,Bensin,Automatic,Sedan,nan,Merah,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
83000000.0,2001.0,57500.0,2500.0,24.0,Mercedes-Benz,Vito,Lain-lain,Bensin,Automatic,MPV,Front Wheel Drive (FWD),Silver,nan,Tangerang Selatan Kota,Banten,nan
385000000.0,2013.0,32500.0,1750.0,12.0,BMW,X3,xDrive20i xLine,Bensin,Automatic,SUV,4X4,Abu-abu,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Mobil WTC Mangga Dua
37000000.0,2004.0,117500.0,1000.0,21.0,Chevrolet,Spark,Lain-lain,Bensin,Manual,Compact & City Car,4X2,Abu-abu,Individu,Karanganyar Kab.,Jawa Tengah,nan
138000000.0,2017.0,52500.0,,8.0,Suzuki,Ertiga,GL,Bensin,Automatic,nan,nan,Hitam,Diler,Bekasi Kota,Jawa Barat,nan
115000000.0,2018.0,12500.0,1250.0,7.0,Wuling,Confero S,S 1.5,Bensin,Manual,Minibus,4X2,Putih,Individu,Tegal Kota,Jawa Tengah,nan
99000000.0,2013.0,112500.0,1250.0,12.0,Chevrolet,Spin,1.3,Diesel,Manual,MPV,4X2,Abu-abu,Individu,Bekasi Kota,Jawa Barat,nan
171000000.0,2016.0,57500.0,1250.0,9.0,Volkswagen,Polo,TSI 1.2,Bensin,Automatic,Hatchback,Front Wheel Drive (FWD),Merah,nan,Tangerang Selatan Kota,Banten,nan
43000000.0,1997.0,97500.0,1250.0,28.0,Timor,SOHC,1.3,Bensin,Manual,Sedan,4X2,Merah,nan,Surakarta Kota,Jawa Tengah,nan
140000000.0,2012.0,62500.0,2500.0,13.0,Ford,Escape,XLT,Bensin,Automatic,SUV,Rear Wheel Drive (RWD),Hitam,Individu,Surabaya Kota,Jawa Timur,nan
230000000.0,2015.0,47500.0,1750.0,10.0,Mitsubishi,Outlander,Lain-lain,Bensin,Automatic Triptonic,SUV,4X2,Hitam,Diler,Surabaya Kota,Jawa Timur,Bursa Mobil DTC
120000000.0,2014.0,42500.0,1250.0,11.0,Mitsubishi,Mirage,Exceed,Bensin,Automatic,Hatchback,4X2,Merah,Diler,Surabaya Kota,Jawa Timur,nan
725000000.0,2015.0,2500.0,2500.0,10.0,Mini Cooper,Mini Cooper,Lain-lain,Bensin,Automatic,Sports & Super Car,Rear Wheel Drive (RWD),Hitam,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Otomotif Sunter
